R1136TS119_5.pdb     -2484.038491 kBT
R1136TS248_4.pdb     -1515.336809 kBT
R1136TS287_1.pdb     -2024.608747 kBT
R1136TS245_3.pdb     -1607.744434 kBT
R1136TS470_4.pdb     -1829.317531 kBT
R1136TS125_4.pdb     -2245.497516 kBT
R1136TS235_5.pdb     -1692.800251 kBT
R1136TS235_3.pdb     -2363.051203 kBT
R1136TS238_2.pdb     1352.005760 kBT
R1136TS248_2.pdb     -1535.695649 kBT
R1136TS131_3.pdb     -1035.445699 kBT
R1136TS081_4.pdb     -2335.416342 kBT
R1136TS325_1.pdb     -2815.488376 kBT
R1136TS128_3.pdb     -2228.300588 kBT
R1136TS110_5.pdb     -1906.707606 kBT
R1136TS128_4.pdb     -2213.454162 kBT
R1136TS125_2.pdb     -2283.252251 kBT
R1136TS076_3.pdb     -2287.079234 kBT
R1136TS119_1.pdb     -2422.201441 kBT
R1136TS128_1.pdb     -2390.911350 kBT
R1136TS434_3.pdb     -1979.399831 kBT
R1136TS235_4.pdb     -1644.961431 kBT
R1136TS470_5.pdb     -1831.576123 kBT
R1136TS470_3.pdb     -1426.129219 kBT
R1136TS392_1.pdb     -2272.101490 kBT
R1136TS287_5.pdb     -1958.312152 kBT
R1136.pdb     -2351.198988 kBT
R1136TS119_3.pdb     -2397.096080 kBT
R1136TS128_5.pdb     -2164.211031 kBT
R1136TS470_2.pdb     -2115.957737 kBT
R1136TS434_2.pdb     -1782.355826 kBT
R1136TS232_5.pdb     -2725.985909 kBT
R1136TS185_2.pdb     -1630.267762 kBT
R1136TS081_5.pdb     -2288.766623 kBT
R1136TS444_3.pdb     -1728.796580 kBT
R1136TS227_1.pdb     -1616.476132 kBT
R1136TS147_5.pdb     -1864.725366 kBT
R1136TS185_4.pdb     -1505.380323 kBT
R1136TS238_3.pdb     4625.623179 kBT
R1136TS287_4.pdb     -1915.309453 kBT
R1136TS081_1.pdb     -2321.577740 kBT
R1136TS076_4.pdb     -2242.921817 kBT
R1136TS245_2.pdb     -1557.976144 kBT
R1136TS239_2.pdb     -2308.776914 kBT
R1136TS248_3.pdb     -1509.047346 kBT
R1136TS235_2.pdb     -2326.889462 kBT
R1136TS131_1.pdb     -1004.363717 kBT
R1136TS229_5.pdb     -2287.772655 kBT
R1136TS147_3.pdb     -1871.130834 kBT
R1136TS076_1.pdb     -2401.359371 kBT
R1136TS119_2.pdb     -2396.778325 kBT
R1136TS229_1.pdb     -2412.061170 kBT
R1136TS239_3.pdb     -2423.696035 kBT
R1136TS232_2.pdb     -2728.666438 kBT
R1136TS235_1.pdb     -2310.955627 kBT
R1136TS131_5.pdb     -919.009516 kBT
R1136TS081_2.pdb     -2333.050441 kBT
R1136TS081_3.pdb     -2361.431872 kBT
R1136TS185_3.pdb     -1530.972677 kBT
R1136TS239_5.pdb     -2421.613618 kBT
R1136TS147_1.pdb     -1817.651626 kBT
R1136TS177_1.pdb     -1569.256865 kBT
R1136TS035_1.pdb     -1518.346656 kBT
R1136TS232_1.pdb     -2816.828631 kBT
R1136TS229_4.pdb     -2435.907824 kBT
R1136TS110_3.pdb     -2168.654635 kBT
R1136TS227_2.pdb     -1714.026881 kBT
R1136TS185_1.pdb     -1768.382146 kBT
R1136TS035_5.pdb     -1421.396505 kBT
R1136TS029_3.pdb     -1725.131642 kBT
R1136TS110_4.pdb     -2071.388709 kBT
R1136TS110_2.pdb     -2209.524197 kBT
R1136TS238_1.pdb     2894.674442 kBT
R1136TS054_2.pdb     -2378.728259 kBT
R1136TS147_4.pdb     -1793.792174 kBT
R1136TS131_2.pdb     -914.479732 kBT
R1136TS054_3.pdb     -2332.842094 kBT
R1136TS227_5.pdb     -1776.165123 kBT
R1136TS097_1.pdb     -732.616091 kBT
R1136TS434_4.pdb     -1774.295364 kBT
R1136TS227_4.pdb     -1822.298491 kBT
R1136TS131_4.pdb     -1013.671531 kBT
R1136TS232_3.pdb     -2824.077753 kBT
R1136TS232_4.pdb     -2849.976931 kBT
R1136TS035_4.pdb     -1576.895702 kBT
R1136TS434_5.pdb     -1732.400746 kBT
R1136TS029_5.pdb     -1781.786773 kBT
R1136TS434_1.pdb     -1686.005508 kBT
R1136TS245_1.pdb     -1795.574463 kBT
R1136TS054_4.pdb     -2145.695715 kBT
R1136TS229_2.pdb     -2370.819628 kBT
R1136TS392_2.pdb     -2278.242733 kBT
R1136TS119_4.pdb     -2430.197015 kBT
R1136TS029_2.pdb     -2115.029702 kBT
R1136TS076_5.pdb     -2299.647569 kBT
R1136TS054_5.pdb     -2248.038169 kBT
R1136TS125_5.pdb     -2126.142685 kBT
R1136TS128_2.pdb     -2293.011574 kBT
R1136TS287_3.pdb     -1984.974173 kBT
R1136TS076_2.pdb     -2389.331344 kBT
R1136TS125_3.pdb     -2289.255956 kBT
R1136TS245_5.pdb     -1774.375722 kBT
R1136TS227_3.pdb     -1691.465599 kBT
R1136TS229_3.pdb     -2442.174286 kBT
R1136TS392_3.pdb     -2225.847175 kBT
R1136TS110_1.pdb     -2143.995202 kBT
R1136TS035_2.pdb     -1470.295844 kBT
R1136TS248_1.pdb     -1520.794551 kBT
R1136TS147_2.pdb     -1725.390951 kBT
R1136TS029_1.pdb     -1580.240070 kBT
R1136TS248_5.pdb     -1518.745131 kBT
R1136TS287_2.pdb     -1961.135217 kBT
R1136TS185_5.pdb     -1742.041512 kBT
R1136TS029_4.pdb     -1716.395091 kBT
R1136TS035_3.pdb     -1421.653639 kBT
R1136TS054_1.pdb     -2143.775270 kBT
R1136TS245_4.pdb     -1662.550089 kBT
