R1116TS489_2.pdb     -10227.819342 kBT
R1116TS285_5.pdb     -12386.788077 kBT
R1116TS110_4.pdb     -13843.954033 kBT
R1116TS076_4.pdb     -14204.589488 kBT
R1116TS416_4.pdb     -12108.487243 kBT
R1116TS229_1.pdb     -13091.158206 kBT
R1116TS185_1.pdb     -15846.332906 kBT
R1116TS470_5.pdb     -9236.722574 kBT
R1116TS287_5.pdb     -12970.697298 kBT
R1116TS091_1.pdb     292.875190 kBT
R1116TS248_5.pdb     -13653.157785 kBT
R1116TS081_5.pdb     -14007.113453 kBT
R1116TS054_4.pdb     -14869.927588 kBT
R1116TS125_1.pdb     -14087.005914 kBT
R1116TS147_4.pdb     -12405.508166 kBT
R1116TS285_2.pdb     -12499.460953 kBT
R1116TS125_4.pdb     -13200.750391 kBT
R1116TS439_3.pdb     -12535.242937 kBT
R1116.pdb     -14938.932376 kBT
R1116TS416_5.pdb     -13358.496615 kBT
R1116TS185_4.pdb     -15512.045206 kBT
R1116TS248_2.pdb     -14135.580209 kBT
R1116TS119_4.pdb     -13323.273351 kBT
R1116TS125_5.pdb     -14114.209788 kBT
R1116TS229_2.pdb     -12166.835189 kBT
R1116TS470_3.pdb     -10493.650368 kBT
R1116TS029_3.pdb     -8089.166718 kBT
R1116TS489_5.pdb     -9373.226430 kBT
R1116TS439_4.pdb     -12145.930161 kBT
R1116TS131_1.pdb     -6771.993327 kBT
R1116TS163_2.pdb     -5160.365227 kBT
R1116TS163_3.pdb     -6314.925192 kBT
R1116TS392_5.pdb     -11082.505596 kBT
R1116TS131_5.pdb     -7158.068950 kBT
R1116TS091_3.pdb     776.432336 kBT
R1116TS439_2.pdb     -11288.338535 kBT
R1116TS119_2.pdb     -14029.617818 kBT
R1116TS392_2.pdb     -10852.841568 kBT
R1116TS131_2.pdb     -3325.944070 kBT
R1116TS229_3.pdb     -11926.952810 kBT
R1116TS235_4.pdb     -11380.145691 kBT
R1116TS081_3.pdb     -14006.851594 kBT
R1116TS245_4.pdb     -5995.418793 kBT
R1116TS238_1.pdb     -10320.963271 kBT
R1116TS248_3.pdb     -13282.797463 kBT
R1116TS110_3.pdb     -13964.281243 kBT
R1116TS054_5.pdb     -13277.847065 kBT
R1116TS489_4.pdb     -9597.448981 kBT
R1116TS232_3.pdb     -18722.469354 kBT
